com.samsung.shealth.report,6233003,3
timezone,start_date,update_time,create_time,type,is_empty,version,deviceuuid,content,pkg_name,datauuid,compressed_content
America/Sao_Paulo,1476583200000,2016-11-18 14:12:27.998,2016-10-23 15:04:27.096,0,0,1,f1/7zwjou1,X,com.sec.android.app.shealth,96eccb5d-f070-4e10-b7ef-a0bf81fb1240,96eccb5d-f070-4e10-b7ef-a0bf81fb1240.compressed_content.json,
America/Sao_Paulo,1519527600000,2018-03-06 17:29:34.699,2018-03-04 17:31:20.703,0,0,1,n2OTyB17mi,X,com.sec.android.app.shealth,89fd0d58-efdf-4e28-9d27-2c2b7734760d,89fd0d58-efdf-4e28-9d27-2c2b7734760d.compressed_content.json,
America/Sao_Paulo,1494730800000,2017-05-22 17:29:55.983,2017-05-21 17:31:22.524,0,0,1,n2OTyB17mi,X,com.sec.android.app.shealth,0858aa54-4f82-4a84-93d7-53a1733a9304,0858aa54-4f82-4a84-93d7-53a1733a9304.compressed_content.json,
America/Sao_Paulo,1529204400000,2018-06-30 17:30:16.104,2018-06-24 17:31:14.368,0,0,1,n2OTyB17mi,X,com.sec.android.app.shealth,cca33c2d-f3bd-4256-99da-57e31ad256f6,cca33c2d-f3bd-4256-99da-57e31ad256f6.compressed_content.json,
America/Sao_Paulo,1506826800000,2017-10-08 17:31:07.036,2017-10-08 17:29:51.304,0,0,1,n2OTyB17mi,X,com.sec.android.app.shealth,96760149-f979-4e08-8f70-b43a6af0176d,96760149-f979-4e08-8f70-b43a6af0176d.compressed_content.json,
America/Sao_Paulo,1479002400000,2016-11-20 15:05:24.544,2016-11-20 15:04:25.321,0,0,1,f1/7zwjou1,X,com.sec.android.app.shealth,4a429a71-d3d1-4057-9252-63dd9868e8f2,4a429a71-d3d1-4057-9252-63dd9868e8f2.compressed_content.json,
America/Sao_Paulo,1470538800000,2016-11-18 14:12:38.248,2016-08-14 17:26:32.422,0,0,1,f1/7zwjou1,X,com.sec.android.app.shealth,0a4a1465-6f45-4f07-9da2-6c57508c662f,0a4a1465-6f45-4f07-9da2-6c57508c662f.compressed_content.json,
America/Sao_Paulo,1463886000000,2016-11-18 14:13:54.899,2016-05-29 16:33:56.265,0,1,1,f1/7zwjou1,X,com.sec.android.app.shealth,b4bfe3b1-859a-4b75-8e99-631da0d7b30e,b4bfe3b1-859a-4b75-8e99-631da0d7b30e.compressed_content.json,
America/Sao_Paulo,1500778800000,2017-07-30 17:30:34.224,2017-07-30 17:29:36.441,0,0,1,n2OTyB17mi,X,com.sec.android.app.shealth,332f4d1f-9d35-4f0c-ae8e-dea69285bd25,332f4d1f-9d35-4f0c-ae8e-dea69285bd25.compressed_content.json,
America/Sao_Paulo,1497754800000,2017-06-25 17:30:35.007,2017-06-25 17:29:37.926,0,0,1,n2OTyB17mi,X,com.sec.android.app.shealth,a953bef4-944e-494b-a793-6884c8b958f4,a953bef4-944e-494b-a793-6884c8b958f4.compressed_content.json,
America/Sao_Paulo,1497150000000,2017-06-18 17:30:33.030,2017-06-18 17:29:33.128,0,0,1,n2OTyB17mi,X,com.sec.android.app.shealth,6b827d98-017c-4fe3-882f-defab5f6998c,6b827d98-017c-4fe3-882f-defab5f6998c.compressed_content.json,
America/Sao_Paulo,1511661600000,2017-12-04 16:29:33.273,2017-12-03 16:29:56.813,0,0,1,n2OTyB17mi,X,com.sec.android.app.shealth,4ce4ce4a-ebba-4aed-b240-dd7947d76b69,4ce4ce4a-ebba-4aed-b240-dd7947d76b69.compressed_content.json,
America/Sao_Paulo,1527390000000,2018-06-07 17:30:59.331,2018-06-03 17:31:04.778,0,0,1,n2OTyB17mi,X,com.sec.android.app.shealth,50c0f8d9-6f88-4ccd-b672-06facc075a66,50c0f8d9-6f88-4ccd-b672-06facc075a66.compressed_content.json,
America/Sao_Paulo,1505617200000,2017-09-24 17:31:13.447,2017-09-24 17:29:35.902,0,0,1,n2OTyB17mi,X,com.sec.android.app.shealth,e9299edf-2941-4adb-b667-d239eeb3768f,e9299edf-2941-4adb-b667-d239eeb3768f.compressed_content.json,
America/Sao_Paulo,1520132400000,2018-03-11 17:31:13.542,2018-03-11 17:31:12.328,0,0,1,n2OTyB17mi,X,com.sec.android.app.shealth,28c46578-f1d3-45b2-b543-db522c847eeb,28c46578-f1d3-45b2-b543-db522c847eeb.compressed_content.json,
America/Sao_Paulo,1492311600000,2017-04-24 17:30:01.462,2017-04-23 17:30:00.412,0,0,1,n2OTyB17mi,X,com.sec.android.app.shealth,ebacd17e-a998-4834-ba5e-55d81e6af31f,ebacd17e-a998-4834-ba5e-55d81e6af31f.compressed_content.json,
America/Sao_Paulo,1457838000000,2016-11-18 14:15:26.852,2016-03-25 16:35:20.979,0,1,1,f1/7zwjou1,X,com.sec.android.app.shealth,d031e0bc-7977-4d5b-8478-282d1a0ce07b,d031e0bc-7977-4d5b-8478-282d1a0ce07b.compressed_content.json,
America/Sao_Paulo,1462676400000,2016-11-18 14:14:23.556,2016-05-16 16:07:35.413,0,1,1,f1/7zwjou1,X,com.sec.android.app.shealth,5c996f6b-7ebd-4b64-ac54-561705b2fd11,5c996f6b-7ebd-4b64-ac54-561705b2fd11.compressed_content.json,
America/Sao_Paulo,1468724400000,2016-11-18 14:12:38.690,2016-07-24 18:35:11.965,0,0,1,f1/7zwjou1,X,com.sec.android.app.shealth,ad454bca-4ed0-44c6-af87-9aa445591a23,ad454bca-4ed0-44c6-af87-9aa445591a23.compressed_content.json,
America/Sao_Paulo,1521342000000,2018-03-26 17:31:04.730,2018-03-25 17:30:11.556,0,0,1,n2OTyB17mi,X,com.sec.android.app.shealth,db17ea3f-8775-46e0-b32b-d0ab200cab2d,db17ea3f-8775-46e0-b32b-d0ab200cab2d.compressed_content.json,
America/Sao_Paulo,1504407600000,2017-09-10 17:30:51.781,2017-09-10 17:29:50.194,0,0,1,n2OTyB17mi,X,com.sec.android.app.shealth,395c2d73-ec23-4f93-a78f-179fc286cdc5,395c2d73-ec23-4f93-a78f-179fc286cdc5.compressed_content.json,
America/Sao_Paulo,1513476000000,2017-12-24 16:31:14.083,2017-12-24 16:29:34.670,0,0,1,n2OTyB17mi,X,com.sec.android.app.shealth,7bbc7d83-dee0-43fb-8a90-3e3077095f17,7bbc7d83-dee0-43fb-8a90-3e3077095f17.compressed_content.json,
America/Sao_Paulo,1495335600000,2017-05-28 17:30:05.463,2017-05-28 17:30:02.295,0,0,1,n2OTyB17mi,X,com.sec.android.app.shealth,7b564152-ca22-497e-88f4-4f3a67a5c0f0,7b564152-ca22-497e-88f4-4f3a67a5c0f0.compressed_content.json,
America/Sao_Paulo,1558839600000,2019-06-08 17:29:47.036,2019-06-02 17:30:05.662,0,0,2,zjIwstRrv1,X,com.sec.android.app.shealth,b2875d1e-8a2d-4a04-b472-546ccc807030,b2875d1e-8a2d-4a04-b472-546ccc807030.compressed_content.json,
America/Sao_Paulo,1508036400000,2017-10-27 16:29:42.228,2017-10-22 16:29:39.165,0,0,1,n2OTyB17mi,X,com.sec.android.app.shealth,68b1b0de-29b0-4496-b4c9-1e4aaa8e5c4c,68b1b0de-29b0-4496-b4c9-1e4aaa8e5c4c.compressed_content.json,
America/Sao_Paulo,1534647600000,2018-08-27 17:29:43.605,2018-08-26 17:29:31.219,0,0,1,n2OTyB17mi,X,com.sec.android.app.shealth,1fcd547b-3798-4a7f-b97a-4a76bedf5891,1fcd547b-3798-4a7f-b97a-4a76bedf5891.compressed_content.json,
America/Sao_Paulo,1490497200000,2017-04-03 17:31:02.107,2017-04-03 17:31:00.389,0,0,1,n2OTyB17mi,X,com.sec.android.app.shealth,e21aa5d2-b270-48f5-bf80-40f6152c6cb2,e21aa5d2-b270-48f5-bf80-40f6152c6cb2.compressed_content.json,
America/Sao_Paulo,1547344800000,2019-01-25 16:29:48.051,2019-01-20 16:29:50.602,0,0,2,zjIwstRrv1,X,com.sec.android.app.shealth,5b276b83-2836-42dd-9fe3-ae56d1a18278,5b276b83-2836-42dd-9fe3-ae56d1a18278.compressed_content.json,
America/Sao_Paulo,1532833200000,2018-08-06 17:29:39.221,2018-08-05 17:29:34.695,0,0,1,n2OTyB17mi,X,com.sec.android.app.shealth,53a64739-8882-407e-a75c-c780cb8735b2,53a64739-8882-407e-a75c-c780cb8735b2.compressed_content.json,
America/Sao_Paulo,1517104800000,2018-02-06 16:30:49.453,2018-02-04 16:30:11.948,0,0,1,n2OTyB17mi,X,com.sec.android.app.shealth,0d302b04-79ab-4376-b5aa-8696f661df4e,0d302b04-79ab-4376-b5aa-8696f661df4e.compressed_content.json,
America/Sao_Paulo,1550977200000,2019-03-09 17:29:41.390,2019-03-03 17:30:48.799,0,0,2,zjIwstRrv1,X,com.sec.android.app.shealth,37792bbf-483a-420b-aa3f-879e5875c56f,37792bbf-483a-420b-aa3f-879e5875c56f.compressed_content.json,
America/Sao_Paulo,1526180400000,2018-05-20 17:30:58.834,2018-05-20 17:29:38.366,0,0,1,n2OTyB17mi,X,com.sec.android.app.shealth,b0cbe608-0ae2-42b3-8b63-8d15fdab99b0,b0cbe608-0ae2-42b3-8b63-8d15fdab99b0.compressed_content.json,
America/Sao_Paulo,1531623600000,2018-07-24 17:30:21.059,2018-07-22 17:29:40.654,0,0,1,n2OTyB17mi,X,com.sec.android.app.shealth,c1ce328c-4d67-4dd2-90c6-6e41dbf5aae9,c1ce328c-4d67-4dd2-90c6-6e41dbf5aae9.compressed_content.json,
America/Sao_Paulo,1460257200000,2016-11-18 14:15:13.636,2016-04-17 17:00:00.466,0,1,1,f1/7zwjou1,X,com.sec.android.app.shealth,47e3bc1e-e312-4b95-8403-053aca826284,47e3bc1e-e312-4b95-8403-053aca826284.compressed_content.json,
America/Sao_Paulo,1561258800000,2019-07-06 17:30:38.334,2019-06-30 17:29:32.298,0,0,2,zjIwstRrv1,X,com.sec.android.app.shealth,b28e0852-e5d1-4737-9821-0e663ee7cf74,b28e0852-e5d1-4737-9821-0e663ee7cf74.compressed_content.json,
America/Sao_Paulo,1477792800000,2016-11-18 14:12:27.546,2016-11-07 15:04:10.056,0,0,1,f1/7zwjou1,X,com.sec.android.app.shealth,3ac65aed-af86-4d6a-b32f-143cc357463b,3ac65aed-af86-4d6a-b32f-143cc357463b.compressed_content.json,
America/Sao_Paulo,1548554400000,2019-02-09 16:29:49.862,2019-02-03 16:30:34.439,0,0,2,zjIwstRrv1,X,com.sec.android.app.shealth,35f81bda-2839-4882-a8ed-baeb19ad1677,35f81bda-2839-4882-a8ed-baeb19ad1677.compressed_content.json,
America/Sao_Paulo,1477188000000,2016-11-18 14:12:27.782,2016-10-30 15:04:09.072,0,0,1,f1/7zwjou1,X,com.sec.android.app.shealth,867991f4-f40c-453a-bd74-a07e51fb11ac,867991f4-f40c-453a-bd74-a07e51fb11ac.compressed_content.json,
America/Sao_Paulo,1557630000000,2019-05-25 17:29:49.059,2019-05-19 17:33:33.369,0,0,2,zjIwstRrv1,X,com.sec.android.app.shealth,0879749a-a69f-4363-bc15-f192f5509619,0879749a-a69f-4363-bc15-f192f5509619.compressed_content.json,
America/Sao_Paulo,1525575600000,2018-05-13 17:29:41.578,2018-05-13 17:29:30.685,0,0,1,n2OTyB17mi,X,com.sec.android.app.shealth,4fb7dbc0-2661-4108-8d66-3e4c8225225b,4fb7dbc0-2661-4108-8d66-3e4c8225225b.compressed_content.json,
America/Sao_Paulo,1552791600000,2019-03-29 17:30:08.931,2019-03-24 17:30:41.960,0,0,2,zjIwstRrv1,X,com.sec.android.app.shealth,86ee5b10-4405-4dcd-b956-57faf53f63f1,86ee5b10-4405-4dcd-b956-57faf53f63f1.compressed_content.json,
America/Sao_Paulo,1471748400000,2016-11-18 14:12:37.901,2016-08-29 16:04:19.908,0,0,1,f1/7zwjou1,X,com.sec.android.app.shealth,3580a7f7-e645-4663-bba0-31e1777a4859,3580a7f7-e645-4663-bba0-31e1777a4859.compressed_content.json,
America/Sao_Paulo,1561863600000,2019-07-13 17:34:08.021,2019-07-07 17:30:32.364,0,0,2,zjIwstRrv1,X,com.sec.android.app.shealth,1519b7a7-ef28-4ca4-9e3d-093cae5ad9ed,1519b7a7-ef28-4ca4-9e3d-093cae5ad9ed.compressed_content.json,
America/Sao_Paulo,1467514800000,2016-11-18 14:12:39.093,2016-07-10 16:10:19.796,0,0,1,f1/7zwjou1,X,com.sec.android.app.shealth,ae236be6-44c0-4d1c-8604-cafd07acc541,ae236be6-44c0-4d1c-8604-cafd07acc541.compressed_content.json,
America/Sao_Paulo,1571540400000,2019-10-27 16:45:49.418,2019-10-27 16:45:47.736,0,0,2,yfgkJHa6g4,X,com.sec.android.app.shealth,86be4cd4-1b76-438f-8531-0d70d64bc90b,86be4cd4-1b76-438f-8531-0d70d64bc90b.compressed_content.json,
America/Sao_Paulo,1575169200000,2019-12-08 16:47:25.644,2019-12-08 16:47:24.442,0,0,2,yfgkJHa6g4,X,com.sec.android.app.shealth,3022c1e2-71f4-4cc4-bdd6-60ca1bcdabc1,3022c1e2-71f4-4cc4-bdd6-60ca1bcdabc1.compressed_content.json,
America/Sao_Paulo,1472353200000,2016-11-18 14:12:37.535,2016-09-04 16:04:18.310,0,0,1,f1/7zwjou1,X,com.sec.android.app.shealth,44852af0-9f16-4eee-9cba-271912fbd7a8,44852af0-9f16-4eee-9cba-271912fbd7a8.compressed_content.json,
America/Sao_Paulo,1578798000000,2020-01-19 16:42:19.530,2020-01-19 16:42:17.226,0,0,2,yfgkJHa6g4,X,com.sec.android.app.shealth,c8a9f159-bc3f-418d-92dc-30864e6b7020,c8a9f159-bc3f-418d-92dc-30864e6b7020.compressed_content.json,
America/Sao_Paulo,1511056800000,2017-11-27 16:29:56.945,2017-11-26 16:30:58.837,0,0,1,n2OTyB17mi,X,com.sec.android.app.shealth,b86033cc-b4fd-4834-80f3-fec1c2819164,b86033cc-b4fd-4834-80f3-fec1c2819164.compressed_content.json,
Europe/Lisbon,1582416000000,2020-03-01 13:41:47.379,2020-03-01 13:41:46.027,0,0,2,yfgkJHa6g4,X,com.sec.android.app.shealth,710da1ef-ef56-4e4f-aad0-f7a8cc361e38,710da1ef-ef56-4e4f-aad0-f7a8cc361e38.compressed_content.json,
America/Sao_Paulo,1523761200000,2018-04-22 17:35:43.072,2018-04-22 17:35:02.892,0,0,1,n2OTyB17mi,X,com.sec.android.app.shealth,6d8a8175-539f-4502-91eb-75a0edac7a51,6d8a8175-539f-4502-91eb-75a0edac7a51.compressed_content.json,
America/Sao_Paulo,1586055600000,2020-04-12 16:41:47.369,2020-04-12 16:41:42.564,0,0,2,yfgkJHa6g4,X,com.sec.android.app.shealth,44ad3444-7325-46fe-8b6f-2826593a46b8,44ad3444-7325-46fe-8b6f-2826593a46b8.compressed_content.json,
America/Sao_Paulo,1495940400000,2017-06-04 17:31:43.709,2017-06-04 17:30:07.680,0,0,1,n2OTyB17mi,X,com.sec.android.app.shealth,08d2591f-4448-4b36-8f64-d887767620c5,08d2591f-4448-4b36-8f64-d887767620c5.compressed_content.json,
America/Sao_Paulo,1589684400000,2020-05-24 16:43:49.425,2020-05-24 16:43:47.323,0,0,2,yfgkJHa6g4,X,com.sec.android.app.shealth,92d394b7-f84f-4089-aa9f-ae08d0994fd8,92d394b7-f84f-4089-aa9f-ae08d0994fd8.compressed_content.json,
America/Sao_Paulo,1515895200000,2018-01-21 16:31:15.049,2018-01-21 16:29:51.389,0,0,1,n2OTyB17mi,X,com.sec.android.app.shealth,beccd09f-c323-424d-9c48-bfe7c3cbf641,beccd09f-c323-424d-9c48-bfe7c3cbf641.compressed_content.json,
America/Sao_Paulo,1496545200000,2017-06-11 17:30:51.665,2017-06-11 17:29:58.915,0,0,1,n2OTyB17mi,X,com.sec.android.app.shealth,976a4f74-9945-4109-b7c8-55754e267ab0,976a4f74-9945-4109-b7c8-55754e267ab0.compressed_content.json,
America/Sao_Paulo,1593313200000,2020-07-05 16:41:44.880,2020-07-05 16:41:43.421,0,0,2,yfgkJHa6g4,X,com.sec.android.app.shealth,bae15ba6-e68e-47c9-bbe3-94987de006ae,bae15ba6-e68e-47c9-bbe3-94987de006ae.compressed_content.json,
America/Sao_Paulo,1550372400000,2019-03-02 17:31:26.540,2019-02-24 17:29:32.016,0,0,2,zjIwstRrv1,X,com.sec.android.app.shealth,0d4e0166-3d66-4147-8047-54b138117d5b,0d4e0166-3d66-4147-8047-54b138117d5b.compressed_content.json,
America/Sao_Paulo,1596942000000,2020-08-17 16:42:06.150,2020-08-16 16:42:20.695,0,0,2,yfgkJHa6g4,X,com.sec.android.app.shealth,0d98843a-5114-49af-8606-c92593b6db4f,0d98843a-5114-49af-8606-c92593b6db4f.compressed_content.json,
America/Sao_Paulo,1546135200000,2019-01-12 16:33:31.726,2019-01-06 16:29:38.958,0,0,2,zjIwstRrv1,X,com.sec.android.app.shealth,731e3e70-984d-4490-a390-83ebdbb6e14c,731e3e70-984d-4490-a390-83ebdbb6e14c.compressed_content.json,
America/Sao_Paulo,1600570800000,2020-09-28 16:42:20.314,2020-09-27 16:42:04.176,0,0,2,yfgkJHa6g4,X,com.sec.android.app.shealth,231d844f-5456-42ef-a6b9-28d23fe8a28e,231d844f-5456-42ef-a6b9-28d23fe8a28e.compressed_content.json,
America/Sao_Paulo,1604199600000,2020-11-09 16:42:31.387,2020-11-08 16:42:24.393,0,0,2,yfgkJHa6g4,X,com.sec.android.app.shealth,535fbec1-dd70-4fa3-a8b5-8140c983b371,535fbec1-dd70-4fa3-a8b5-8140c983b371.compressed_content.json,
America/Sao_Paulo,1568516400000,2019-09-24 17:30:04.424,2019-09-22 17:30:15.647,0,0,2,zjIwstRrv1,X,com.sec.android.app.shealth,2aa93eae-87f8-44ee-962f-ad99fa1bf87c,2aa93eae-87f8-44ee-962f-ad99fa1bf87c.compressed_content.json,
America/Sao_Paulo,1608433200000,2020-12-28 16:41:41.791,2020-12-27 16:41:43.647,0,0,2,yfgkJHa6g4,X,com.sec.android.app.shealth,8b2e1644-2121-440c-ab0b-27730211f065,8b2e1644-2121-440c-ab0b-27730211f065.compressed_content.json,
America/Sao_Paulo,1535252400000,2018-09-08 17:29:51.179,2018-09-07 17:29:37.411,0,0,2,zjIwstRrv1,X,com.sec.android.app.shealth,1bcd59f1-1756-4f2c-9de9-2780a17f4c43,1bcd59f1-1756-4f2c-9de9-2780a17f4c43.compressed_content.json,
America/Sao_Paulo,1612062000000,2021-02-07 16:41:45.470,2021-02-07 16:41:42.239,0,0,2,yfgkJHa6g4,X,com.sec.android.app.shealth,4f07706a-fe50-4890-8d3c-e2183c77a50f,4f07706a-fe50-4890-8d3c-e2183c77a50f.compressed_content.json,
America/Sao_Paulo,1538881200000,2018-10-20 17:30:12.420,2018-10-14 17:30:01.489,0,0,2,zjIwstRrv1,X,com.sec.android.app.shealth,ecfa863b-4a65-4cd4-a3c3-4713738a5794,ecfa863b-4a65-4cd4-a3c3-4713738a5794.compressed_content.json,
America/Sao_Paulo,1615690800000,2021-03-21 16:43:04.437,2021-03-21 16:43:03.099,0,0,2,yfgkJHa6g4,X,com.sec.android.app.shealth,99d0a893-e5fc-46ff-a1fe-86c89e7a4fbf,99d0a893-e5fc-46ff-a1fe-86c89e7a4fbf.compressed_content.json,
America/Sao_Paulo,1562468400000,2019-07-20 17:29:52.255,2019-07-14 17:30:01.335,0,0,2,zjIwstRrv1,X,com.sec.android.app.shealth,8d2e66c0-909f-4266-aff6-014f43eff709,8d2e66c0-909f-4266-aff6-014f43eff709.compressed_content.json,
America/Sao_Paulo,1619319600000,2021-05-02 16:41:57.148,2021-05-02 16:41:56.201,0,0,2,yfgkJHa6g4,X,com.sec.android.app.shealth,1fd439fc-ed73-48d7-9f4d-0613acfc4f6c,1fd439fc-ed73-48d7-9f4d-0613acfc4f6c.compressed_content.json,
America/Sao_Paulo,1546740000000,2019-01-19 16:31:27.129,2019-01-13 16:31:00.841,0,0,2,zjIwstRrv1,X,com.sec.android.app.shealth,c6fe339e-de01-45fe-a85f-baf38c51f3d0,c6fe339e-de01-45fe-a85f-baf38c51f3d0.compressed_content.json,
America/Sao_Paulo,1622948400000,2021-06-13 16:42:05.570,2021-06-13 16:42:02.245,0,0,2,yfgkJHa6g4,X,com.sec.android.app.shealth,525883c7-e6f5-4896-9964-e6f6633ff042,525883c7-e6f5-4896-9964-e6f6633ff042.compressed_content.json,
America/Sao_Paulo,1626577200000,2021-07-25 16:41:56.929,2021-07-25 16:41:54.904,0,0,2,yfgkJHa6g4,X,com.sec.android.app.shealth,0ef4dc54-96b6-4014-99fb-25aa4971effc,0ef4dc54-96b6-4014-99fb-25aa4971effc.compressed_content.json,
America/Sao_Paulo,1547949600000,2019-02-02 16:30:09.558,2019-01-27 16:29:43.993,0,0,2,zjIwstRrv1,X,com.sec.android.app.shealth,df590de2-079e-46b9-b8b3-51c5894b7789,df590de2-079e-46b9-b8b3-51c5894b7789.compressed_content.json,
America/Sao_Paulo,1630206000000,2021-09-05 16:42:06.149,2021-09-05 16:42:02.292,0,0,2,yfgkJHa6g4,X,com.sec.android.app.shealth,0fb20f8f-c1e2-409e-aa44-3191d16eb698,0fb20f8f-c1e2-409e-aa44-3191d16eb698.compressed_content.json,
America/Sao_Paulo,1564887600000,2019-08-17 17:31:19.122,2019-08-11 17:29:37.391,0,0,2,zjIwstRrv1,X,com.sec.android.app.shealth,02b66b55-3c16-4f0a-bb33-cd853b0ac03f,02b66b55-3c16-4f0a-bb33-cd853b0ac03f.compressed_content.json,
America/Sao_Paulo,1633834800000,2021-10-17 16:42:12.481,2021-10-17 16:42:05.799,0,0,2,yfgkJHa6g4,X,com.sec.android.app.shealth,372c8aa9-8ee8-464f-80be-1febea61d066,372c8aa9-8ee8-464f-80be-1febea61d066.compressed_content.json,
America/Sao_Paulo,1538276400000,2018-10-13 17:30:42.602,2018-10-07 17:30:39.430,0,0,2,zjIwstRrv1,X,com.sec.android.app.shealth,59d320db-4664-427b-91cd-3200b62ee42b,59d320db-4664-427b-91cd-3200b62ee42b.compressed_content.json,
America/Sao_Paulo,1637463600000,2021-11-28 16:42:14.136,2021-11-28 16:42:09.960,0,0,2,yfgkJHa6g4,X,com.sec.android.app.shealth,f5685b70-31d6-4773-a0ef-0e45576819a3,f5685b70-31d6-4773-a0ef-0e45576819a3.compressed_content.json,
America/Sao_Paulo,1543111200000,2018-12-08 16:30:28.602,2018-12-02 16:30:08.541,0,0,2,zjIwstRrv1,X,com.sec.android.app.shealth,eb9d61ca-ae9b-4e7f-961d-0812825ff38a,eb9d61ca-ae9b-4e7f-961d-0812825ff38a.compressed_content.json,
America/Sao_Paulo,1568516400000,2019-09-27 16:41:45.833,2019-09-27 16:41:42.129,0,0,2,yfgkJHa6g4,X,com.sec.android.app.shealth,1bc39775-9724-4f5c-873e-2b6cdc7cb5ff,1bc39775-9724-4f5c-873e-2b6cdc7cb5ff.compressed_content.json,
America/Sao_Paulo,1641092400000,2022-01-09 16:45:09.905,2022-01-09 16:45:04.611,0,0,2,yfgkJHa6g4,X,com.sec.android.app.shealth,a3888378-74f1-4b48-a139-561dd6d6da41,a3888378-74f1-4b48-a139-561dd6d6da41.compressed_content.json,
America/Sao_Paulo,1644721200000,2022-02-20 16:48:03.347,2022-02-20 16:47:59.977,0,0,2,yfgkJHa6g4,X,com.sec.android.app.shealth,5b00c271-f043-4b99-a0f2-1cd9c710cff6,5b00c271-f043-4b99-a0f2-1cd9c710cff6.compressed_content.json,
America/Sao_Paulo,1572145200000,2019-11-03 16:42:02.809,2019-11-03 16:42:00.607,0,0,2,yfgkJHa6g4,X,com.sec.android.app.shealth,0cd7f53e-b178-4b6f-85d1-dac35f1e9cff,0cd7f53e-b178-4b6f-85d1-dac35f1e9cff.compressed_content.json,
America/Sao_Paulo,1648350000000,2022-04-06 16:43:10.529,2022-04-06 16:42:54.230,0,0,2,yfgkJHa6g4,X,com.sec.android.app.shealth,ae48e9ba-2459-431b-aceb-8c4d32230a56,ae48e9ba-2459-431b-aceb-8c4d32230a56.compressed_content.json,
